Source,Target,weight
Jembawati,Godhayitma,1.0
Rukmini,Bagus,1.0
SitiSendari,Kresna,3.0
Guru,Sadana,2.0
Sengkuni,Godhayitma,1.0
Arjuna,Asmarawati,5.0
Pragota,Saragupita,2.0
Durna,Arimbi,2.0
Kunti,Abiyasa,4.0
Ugrasena,Mandrakeswara,1.0
Gareng,Brahma,2.0
Rukmara,Arjuna,2.0
Setyaki,Semar,5.0
Kurandhayaksa,Kartapiyoga,3.0
Surya,Sadewa,1.0
YudaKalaKresna,Panyarikan,1.0
Gareng,Asmarawati,2.0
Durna,Sri,2.0
Durna,Kunti,3.0
Sengkuni,Baladewa,7.0
GagakBaka,Petruk,1.0
Durna,Karna,19.0
Bhisma,Duryudana,1.0
Pujawati,Bagaspati,3.0
Sri,Abimanyu,4.0
Dhandhonwacana,Yudhistira,1.0
LesmanaMandrakumara,Semar,3.0
Baladewa,Semar,14.0
Sadana,Kresna,3.0
Bendana,Gendari,1.0
Bagong,Antareja,5.0
Sadewa,Surabramadiraja,1.0
RaraIreng,Gareng,3.0
Sengkuni,Anoman,12.0
Sadewa,Setyaboma,1.0
Gorawangsa,JayaBajra,2.0
SuratiMantra,Rohini,1.0
Gareng,Dhandhang,2.0
Durna,Indra,5.0
Saragupita,Indra,2.0
LesmanaMandrakumara,Sengkalawati,2.0
Petruk,Kartamarma,5.0
Guru,Drupadi,1.0
Baladewa,Arjuna,15.0
Ugrasena,Erawati,1.0
Saragupita,Maerah,2.0
Kartapiyoga,Indra,1.0
Bayu,Duryudana,2.0
Kunti,Werkudara,6.0
Gareng,FakeWerkudara,1.0
Ugrasena,JayaBajra,1.0
Bisawarna,Anoman,2.0
Wisnu,Kresna,4.0
Suparta,Gendari,1.0
Rama,Anoman,3.0
Guru,Ramayadi,2.0
YudaKothi,Ugrasena,1.0
Samba,Bagus,1.0
Gareng,Sengkuni,12.0
Durga,Kresna,5.0
Ranu,Kresna,1.0
Bismaka,Duryudana,1.0
Bagus,Nakula,1.0
Guru,Tambrapeta,2.0
Kresna,Brahma,2.0
LesmanaMurdaka,Baladewa,2.0
Abiyasa,Destarastra,2.0
Angganjali,Arjuna,1.0
Sri,Duryudana,1.0
Sangkara,Sekipu,1.0
Baladewa,Anoman,8.0
Ramayadi,Narada,2.0
Udawa,Kartamarma,1.0
Semar,Citrasena,2.0
Surya,Sambuh,1.0
Nakula,Yudhistira,4.0
Banowati,Brajamusthi,1.0
