Source,Target,Type,Weight
Jaya_Bajra,Basudewa,Undirected,1
Pragota,Baladewa,Undirected,1
Semar,Kunti,Undirected,5
Wibisana,Kumbakarna,Undirected,2
MudhaAmarta,Nakula,Undirected,1
Mangsahpati,Brajadhenta,Undirected,1
Karna,Sengkalawati,Undirected,1
Bismaka,Yuda_Kala_Kresna,Undirected,1
Karna,Gendari,Undirected,1
Asmarawati,Nakula,Undirected,2
Karna,WadyaBalaDhandhangMangore,Undirected,2
Karna,Sri,Undirected,1
Sadewa,WadyaPagerwaja,Undirected,1
Gareng,Bayu,Undirected,1
Setyaboma,Bagus,Undirected,1
Kalantaka,Werkudara,Undirected,2
Kangsa,Indra,Undirected,1
Durna,WadyaRotaDenawaDwarawati,Undirected,1
Durna,Antaboga,Undirected,2
Werkudara,Bhisma,Undirected,2
Sri,WadyaTlukiSeta,Undirected,1
Werkudara,WadyaTlukiSeta,Undirected,1
Ugrasena,Petruk,Undirected,3
Sadewa,WadyaDwarawti,Undirected,1
Kunti,RatuSewuNagari,Undirected,1
Dewasrani,Bagong,Undirected,2
Sekipu,Kresna,Undirected,2
Duryudana,Antareja,Undirected,5
Korawa,Pulunggana,Undirected,1
Suparta,Bendana,Undirected,1
Hagni,KadangBayu,Undirected,1
WadyaMandura,Kresna,Undirected,1
Banowati,Hagni,Undirected,1
Bomanarakasura,Puntadewa,Undirected,1
Semar,Duryudana,Undirected,13
Setyaboma,Brahma,Undirected,1
Durna,Dhamdharat,Undirected,2
Maruta,Arjuna,Undirected,2
Nagabanda,TumenggungAstina,Undirected,2
Gareng,_Woman,Undirected,1
Wibisana,KadangBayu,Undirected,1
Pradapa,WadyaDhandhangMangore,Undirected,1
Bagong,Nagaprasanta,Undirected,1
Wisnu,Narada,Undirected,1
Sadewa,SaudaraBayu,Undirected,1
Nagasewu,Duryudana,Undirected,2
Arimbi,Arjuna,Undirected,5
Guru,Kanastren,Undirected,2
Rukmini,Werkudara,Undirected,5
Sintawaka,Bantala,Undirected,1
Bisawarna,Gareng,Undirected,1
Bomanarakasura,Samba,Undirected,2
Guru,Resi,Undirected,2
SaudaraBayu,Dewa_Ruci,Undirected,2
Lesmana_Mandrakumara,Anoman,Undirected,3
Udawa,Brahala,Undirected,1
Yuda_Kothi,WadyaBala,Undirected,1
Drupadi,Sri,Undirected,1
Semar,Kuntiboja,Undirected,1
Banowati,WadyaGuwaSari,Undirected,1
Dhandhonwacana,Bhisma,Undirected,1
Korawa,WadyaRotadenawa,Undirected,1
Durna,Mangsahpati,Undirected,2
Samba,WadyaDwarawati,Undirected,1
Bomanarakasura,Setyaboma,Undirected,1
Gatotkaca,Narada,Undirected,10
WdyaDhandhangMangore,Abimanyu,Undirected,2
Gagak_Baka,Baladewa,Undirected,1
Nakula,Narada,Undirected,10
Kanastren,Antaboga,Undirected,1
Saragupita,Arjuna,Undirected,1
Bisawarna,Duryudana,Undirected,2
Bagong,Erawati,Undirected,1
Sengkalawati,Arjuna,Undirected,1
Guru,Werkudara,Undirected,14
Karna,Yudhistira,Undirected,1
Sintawaka,Hagni,Undirected,1
Baladewa,TumenggungAstina,Undirected,1
Guru,Kalanjaya,Undirected,2
Surtikanthi,Bismaka,Undirected,1
Surati_Mantra,Petruk,Undirected,1
Durna,MudhaAmarta,Undirected,1
Durna,TunggulWulung,Undirected,1
Guru,Sengkalawati,Undirected,1
Korawa,Wenang,Undirected,2
Sinduragen,Kresna,Undirected,1
Rukmini,Abiyasa,Undirected,1
Surya,Pracona,Undirected,1
Guru,Wisanggeni,Undirected,8
Kencana_Wulan,Sadewa,Undirected,1
Antakawulan,Bagong,Undirected,2
Guru,Setyaboma,Undirected,2
Wisanggeni,Dersanala,Undirected,3
Korawa,Soka,Undirected,2
Gareng,Surabramadiraja,Undirected,1
Gareng,Bilung,Undirected,1
Gareng,Padmanaba,Undirected,1
Samba,Bagong,Undirected,5
Semar,Antasena,Undirected,1
Dewasrani,Brahma,Undirected,1
Sadewa,WadyaBalaDhandhangMangore,Undirected,2
Kangsa,Kresna,Undirected,1
WadyaDhandhangMangore,Tambrapeta,Undirected,1
Banowati,Abimanyu,Undirected,7
_Boar,Anoman,Undirected,1
Citrarata,Kartamarma,Undirected,1
Gatotkaca,Gagak_Baka,Undirected,1
Pandu,Basudewa,Undirected,5
Angganjali,Durga,Undirected,1
Petruk,Pandu,Undirected,4
WadyaGuwaSiluman,Puntadewa,Undirected,1
Korwa,Sinduragen,Undirected,1
Karna,Panyarikan,Undirected,1
WadyaDhandhangMangore,Citrasena,Undirected,1
Rara_Ireng,Pragota,Undirected,1
Kunti,MudhaAmarta,Undirected,1
Semar,Puntadewa,Undirected,17
Guru,Sekipu,Undirected,3
Udawa,Arjuna,Undirected,2
_Guard,Anoman,Undirected,1
Lesmana_Murdaka,Werkudara,Undirected,1
Gareng,Durandara,Undirected,2
Gareng,AmartaBrothers,Undirected,1
RotadenawaPagerwaja,Arjuna,Undirected,1
Arjuna,Dersanala,Undirected,3
Gareng,Yamadipati,Undirected,1
Bomanarakasura,Anoman,Undirected,4
Udawa,Panyarikan,Undirected,1
Petruk,WadyaSetanBekasakan,Undirected,1
Asmarawati,WadyaGuwaSari,Undirected,1
Puntadewa,Resi,Undirected,1
Semar,Kanastren,Undirected,5
Sadewa,Gagak_Baka,Undirected,1
Druwasa,Gendara,Undirected,1
Nagabanda,Narada,Undirected,1
Sengkuni,Arjuna,Undirected,16
Surati_Mantra,Jaya_Bajra,Undirected,2
WadyaRotaDenawa,Brahala,Undirected,1
Rara_Ireng,Dhandhang,Undirected,2
Setyaki,WadyaDwarawti,Undirected,1
Gareng,Dhandhang,Undirected,2
Werkudara,Godhayitma,Undirected,3
Antakawulan,Durna,Undirected,1
Parasara,_Woman,Undirected,1
Baladewa,Abiyasa,Undirected,1
Gareng,Garuda,Undirected,1
Guru,Durandara,Undirected,4
Ugrasena,WadyaBala,Undirected,1
Korwa,Yamadipati,Undirected,1
Bilung,Antareja,Undirected,1
Kalantaka,MudhaAmarta,Undirected,2
Bendana,Yudhistira,Undirected,3
Guru,Wisnu,Undirected,1
Pulunggana,_Woman,Undirected,2
Durga,WadyaPagerwaja,Undirected,1
Pancawala,Werkudara,Undirected,1
Petruk,Wenang,Undirected,2
Petruk,Jaya_Bajra,Undirected,1
Durga,Kalika,Undirected,2
Narada,Setyaboma,Undirected,2
Udawa,Petruk,Undirected,2
Durga,Yudhistira,Undirected,1
Puntadewa,Ratmuka,Undirected,1
Lesmana_Mandrakumara,Godhayitma,Undirected,1
Samba,Kamajaya,Undirected,1
WadyaRotaDenawaDwarawati,Werkudara,Undirected,3
