label,degree,weighted degree,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
Bomanarakasura,36,64.0,0.5703125,0.6232876712328768,2.347151684437639,3,0,0.9079365079365079,572,0.4352708553188883
Brahma,36,65.0,0.5703125,0.6232876712328768,5.786581765098406,4,0,0.834920634920635,526,0.39292119416956395
Brajadhenta,18,33.0,0.5328467153284672,0.5616438356164384,0.0,6,0,1.0,153,0.22655957246867134
Brajamusthi,18,26.0,0.5328467153284672,0.5616438356164384,0.0,6,0,1.0,153,0.22655957246867134
Citrarata,23,44.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2711010902992445
Citrasena,23,44.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.27110109029924456
Daryamaya,0,0.0,0.0,0.0,0.0,1,1,0.0,0,0.0
Dersanala,25,43.0,0.5468164794007491,0.5856164383561644,0.0,4,0,1.0,300,0.3087100989334856
Desamuka,36,57.0,0.5703125,0.6232876712328768,2.347151684437639,3,0,0.9079365079365079,572,0.4352708553188882
Destarastra,23,30.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730993
Dewaki,31,58.0,0.5593869731800766,0.6061643835616438,4.9074698779033135,5,0,0.843010752688172,392,0.25822890232157447
Dewa_Ruci,17,19.0,0.5309090909090909,0.5582191780821918,0.0,0,0,1.0,136,0.22474751844908147
Dewasrani,37,67.0,0.5725490196078431,0.6267123287671232,3.280587589976789,4,0,0.8873873873873874,591,0.44347170541295594
Dhadhungawuk,17,20.0,0.5309090909090909,0.5582191780821918,0.0,3,0,1.0,136,0.2297927986920111
Dhamdharat,22,49.0,0.5407407407407407,0.5753424657534246,0.0,0,0,1.0,231,0.279089146755977
Dhandhang,22,44.0,0.5407407407407407,0.5753424657534246,0.0,0,0,1.0,231,0.279089146755977
Dhandhonwacana,24,26.0,0.5447761194029851,0.5821917808219178,0.0,0,0,1.0,276,0.2780797934901148
Drestarastra,24,30.0,0.5447761194029851,0.5821917808219178,0.0,0,0,1.0,276,0.2780797934901148
Drupadi,24,25.0,0.5447761194029851,0.5821917808219178,0.0,3,0,1.0,276,0.31961037715792556
Druwasa,23,27.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730987
Durga,60,160.0,0.6293103448275862,0.7054794520547946,46.9593036918394,4,0,0.607909604519774,1076,0.5855702384297036
Durna,104,465.0,0.776595744680851,0.8561643835616438,229.72650004202686,6,0,0.3844286781179985,2059,0.8501614357153768
Duryudana,104,441.0,0.776595744680851,0.8561643835616438,235.2344800512788,6,0,0.381814787154593,2045,0.8471259312345784
Erawati,24,29.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.22028245710460512
Gagak_Baka,21,24.0,0.5387453874538746,0.571917808219178,0.0,0,0,1.0,210,0.2876499158926314
Gareng,129,501.0,0.8957055214723927,0.9417808219178082,589.3834498371573,5,0,0.3065649224806202,2531,0.9555702031626853
Garuda,33,51.0,0.5637065637065637,0.613013698630137,5.668374563397447,0,0,0.8314393939393939,439,0.36743808654213794
Gatotkaca,88,523.0,0.7156862745098039,0.8013698630136986,137.67826293056646,3,0,0.459508881922675,1759,0.765206757171927
Gendara,23,26.0,0.5427509293680297,0.5787671232876712,0.0,5,0,1.0,253,0.19002018988730993
Gendari,40,56.0,0.5793650793650794,0.636986301369863,25.043927785545097,5,0,0.6782051282051282,529,0.35963326428229275
Godhayitma,0,0.0,0.0,0.0,0.0,2,2,0.0,0,0.0
Gorawangsa,20,30.0,0.5367647058823529,0.5684931506849316,0.0,5,0,1.0,190,0.18065519604753622
Guru,91,345.0,0.7263681592039801,0.8116438356164384,201.64464887532645,4,0,0.4332112332112332,1774,0.773285466027757
Hagni,23,34.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.26775340870617137
Indra,87,250.0,0.7121951219512195,0.797945205479452,198.13589178603033,4,0,0.4397219994653836,1645,0.7389456330193434
Jaya_Bajra,20,22.0,0.5367647058823529,0.5684931506849316,0.0,5,0,1.0,190,0.18065519604753624
Jembawati,32,51.0,0.5615384615384615,0.6095890410958904,1.653803733442222,4,0,0.9193548387096774,456,0.3751550601593493
Kalika,23,35.0,0.5427509293680297,0.5787671232876712,0.0,6,0,1.0,253,0.2711010902992446
Kamajaya,25,45.0,0.5468164794007491,0.5856164383561644,0.0,4,0,1.0,300,0.3087100989334856
Kanastren,36,82.0,0.5703125,0.6232876712328768,3.510658714305279,3,0,0.8857142857142857,558,0.4321435120682862
Kangsa,20,26.0,0.5367647058823529,0.5684931506849316,0.0,5,0,1.0,190,0.18065519604753627
Karna,99,336.0,0.7564766839378239,0.839041095890411,301.65040250520514,6,0,0.3939393939393939,1911,0.8107196344839718
Kartamarma,77,264.0,0.6790697674418604,0.7636986301369864,98.13871131577223,6,0,0.48872180451127817,1430,0.6847673198827985
Kartapiyoga,24,30.0,0.5447761194029851,0.5821917808219178,0.0,5,0,1.0,276,0.22028245710460512
Kencana_Wulan,22,29.0,0.5407407407407407,0.5753424657534246,0.0,0,0,1.0,231,0.279089146755977
Kresna,120,719.0,0.8488372093023255,0.910958904109589,440.724325384114,0,0,0.3303921568627451,2359,0.9283029027846871
Yuda_Kala_Kresna,23,30.0,0.5427509293680297,0.5787671232876712,0.0,4,0,1.0,253,0.3023150429517944
